Trial number,Protocol code,Title of the trial,Overall trial status,Location(s) and recruitment status,Age group,Age range secondary identifier,Gender,Number of participants enrolled,Trial region,Medical conditions,Therapeutic area,Trial phase,Product,Primary endpoint,Secondary endpoints,Decision date,Start date,End date,Global end of the trial,Trial results,Sponsor/Co-Sponsors,Sponsor type,Last updated
2024-512761-13-00,APHP200056,Remyelination in Multiple Sclerosis: a PET-MR longitudinal study investigating individual profiles of myelin repair and the contribution of neuroinflammation (SMART in MS),"Authorised, recruiting","France:Authorised, recruiting",18-64 years,N/A,"Female, Male",60,EEA only,Remyelination in Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),N/A,N/A,N/A,03/12/2024,24/01/2022,N/A,N/A,No,Assistance Publique Hopitaux De Paris,Hospital/Clinic/Other health care facility,24/04/2025
2022-501332-42-00,IM047-050,"A Phase 3, Multicenter, Double Blind, Active-Controlled Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Oral Ozanimod Compared to Oral Fingolimod in Children and Adolescents with Relapsing Remitting Multiple Sclerosis","Ongoing, recruiting","Spain:Authorised, recruiting, Poland:Authorised, recruiting, Portugal:Ongoing, recruiting, Italy:Authorised, recruiting, Romania:Authorised, recruiting",0-17 years,N/A,"Female, Male",38,In both EEA and non-EEA,Relapsing Remitting Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Ozanimod HCl, Ozanimod HCl, Fingolimod 0.25 mg capsule, Fingolimod 0.5 mg capsule, Ozanimod HCl, FINGOLIMOD, Ozanimod HCl 0.23 mg , Ozanimod HCl 1 mg , Ozanimod HCl 0.0575 mg , Ozanimod HCl 0.25 mg, FINGOLIMOD, Ozanimod HCl",Core phase: To assess rate of Multiple Sclerosis (MS) relapse over 2 years,"Core and Extension Phase: proportion of the participants who have worsening or improving RRMS, Core and Extension Phase: occurrence of adverse events (type, severity and relationship to the study drug), Core and Extension Phase: early study discontinuation, Core and Extension Phase: measurements of the amount of ozanimod in a participant’s body",11/09/2024,26/02/2025,N/A,N/A,No,Celgene International II S.a.r.l.,Pharmaceutical company,16/04/2025
2024-517845-14-00,7109,TestOsterone TreatmEnt on Neuroprotection and Myelin Repair in Relapsing Remitting Multiple Sclerosis (TOTEM-RRMS),"Authorised, recruitment pending","France:Authorised, recruitment pending",18-64 years,N/A,Male,80,EEA only,Relapsing Remitting Multiple sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"Placebo to Nebido, NEBIDO 1000 mg/4 ml, solution injectable","Binary criterion comparing the success rate in each treatment group, defined by thalamic atrophy less than 0.5% per year and / or a decrease in transverse diffusivity in lesions less than 0.5% per year.","Efficiency of treatment by imaging: XML File Identifier: 0bHUQtIJ9JZx4QdRJTxm0++LBOc= Page 13/24 • evolution of conventional MRI parameters: volume and number of T1 hypointense lesions, volume and number of new or enlarged T2 lesions, total volume of hyper-intensity FLAIR. • evolution of unconventional MRI parameters: diffusion tensor imaging (NODDI), quantitative magnetization transfer imaging (MPF)., Clinical efficiency of treatment: • Brief International Cognitive Assessment for Multiple Sclerosis, test consisting of the symbol digit modalities test, the California Verbal Learning Test Second Edition, and the Brief Visuospatial Memory Test Revised test • Changes in quality of life and health-related quality of life as measured by the SF-36 and EQ-5D questionnaires respectively., Clinical efficiency of treatment:Impact of MS on workplace productivity and day-to-day activities, as assessed by the WPAI (Work productivity and activity impairment) questionnaire. • Impact on fatigue, as measured by the Multi-Dimensional Fatigue Impact Scale (MFIS),, Clinical efficiency of treatment:Hospital assessment scale for anxiety and depression, as measured by the hospital anxiety and depression scale (HADS) questionnaire. • Evolution of handicap by the EDSS Score, Safe use of the treatment: number and nature of adverse events, evaluation of vital signs at each visit, clinical and neurological examinations, biological results, locally interpreted MRI for tolerance (non-MS pathology of the CNS) and monitoring of concomitant medications ( outside Tysabri®).",03/10/2024,N/A,N/A,N/A,No,Les Hopitaux Universitaires De Strasbourg,Hospital/Clinic/Other health care facility,16/06/2025
2023-505632-35-00,109MS306,"Open-Label, Randomized, Multicenter, Multi-Dose, Active Controlled, Parallel-Group, Efficacy and Safety Study of BG00012 in Children from 10 to Less Than 18 Years of Age with Relapsing-Remitting Multiple Sclerosis with Optional Open-Label Extension (CONNECT)",Ended,France:Ended,0-17 years,"6-11 years, 12-17 years","Female, Male",37,In both EEA and non-EEA,Relapsing-Remitting Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),TECFIDERA,"The primary endpoint of Part 1 of the study is the proportion of participants free of new/newly enlarging T2 hyperintense lesions on brain MRI scans at Week 96., The primary endpoint of the Part 2 is the incidence of adverse events, serious adverse events and discontinuations of BG00012 due to an adverse event","Part 1:   Number of new/newly enlarging T2 hyperintense lesions on brain MRI scans at Weeks 24 and 96, Proportion of participants free of new/newly enlarging T2 hyperintense lesions on brain MRI scans at Weeks 24 and 48, Proportion of participants free of new MRI activity (new MRI activity includes: Gd enhancing MRI lesion on brain MRI scans; new T2 MRI lesions on brain MRI scans and newly enlarging LRI lesions on brain MRI scans) at Weeks 24, 48, and 96, Time to first relapse up to week 96, Proportion of participants who do not experience relapse up to Week 96, Annualized relapse rate at Weeks 48 and 96, Number of participants that experience Adverse Events (AEs) and serious adverse events (SAEs) Including prospective and followup of flushing, nausea, abdominal pain and diarrhea up to Week 96, Fatigue as measured by the Pediatric Quality of Life Inventory (PedsQL) Multidimensional Fatigue Scale scores up to Week 96, Change from baseline to Week 96 in the Expanded Disability Status Scale (EDSS) score up to Week 96., Vital signs, electrocardiograms (ECGs) and changes in clinical laboratory data, including monitoring of liver function, renal function, hematologic, and coagulation parameters up to Week 96., Part 2:  include annualized relapse rate; EDSS; cognition as measured by BVMT-R, SDMT, and school progression query; vital signs; ECGs; clinical laboratory data;  changes from baseline in height, weight, and bone age; and Tanner stage.",17/10/2024,24/07/2014,08/07/2025,08/07/2025,No,Biogen Idec Research Limited,Pharmaceutical company,17/10/2024
2024-512914-16-00,20230309,"A Randomized, Double-blind, Parallel-group Study to Compare Pharmacokinetics, Pharmacodynamics, Clinical Effects, and Safety between ABP 692 and Ocrevus® (Ocrelizumab) in Subjects with Relapsing-remitting Multiple Sclerosis","Authorised, recruitment pending","Germany:Authorised, recruitment pending, Spain:Authorised, recruitment pending, Czechia:Authorised, recruitment pending, Sweden:Authorised, recruitment pending, Lithuania:Authorised, recruitment pending, Belgium:Authorised, recruitment pending, Denmark:Authorised, recruitment pending, Italy:Authorised, recruitment pending, Bulgaria:Authorised, recruitment pending, Slovakia:Authorised, recruitment pending, Croatia:Authorised, recruitment pending, France:Authorised, recruitment pending, Poland:Authorised, recruitment pending",18-64 years,N/A,"Female, Male",364,In both EEA and non-EEA,Relapsing-remitting Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Ocrevus 300 mg concentrate for solution for infusion, ABP 692, Ocrevus","Area under the serum  concentration-time curve (AUC) from time 0 to day 15 (AUC0-d15) following infusion 1 of the initial dose, AUC from time 0 extrapolated to  infinity (AUC0-inf) of the entire initial dose, Total number of new GdE T1-weighted lesions (assessed by brain MRI) over weeks 4, 8, 12, 16, 20, and 24",N/A,18/03/2025,N/A,N/A,N/A,No,Amgen Inc.,Pharmaceutical company,09/09/2025
2023-507820-22-00,CA061-1006,"A Phase 1 Study of CD19-targeted NEX-T CAR T Cells in Participants with RMS, PMS, or 
MG(Breakfree-2)","Ongoing, recruiting","Germany:Ongoing, recruiting, Belgium:Ongoing, recruiting, France:Ongoing, recruiting, Spain:Ongoing, recruiting",18-64 years,N/A,"Female, Male",56,In both EEA and non-EEA,"Relapsing Multiple Sclerosis (RMS), Progressive Multiple Sclerosis (PMS), Myasthenia gravis (MG)","[""Diseases [C] - Immune System Diseases [C20]""]",Human Pharmacology (Phase I)-  Other,N/A,N/A,N/A,02/05/2024,22/05/2024,N/A,N/A,No,Celgene Corp.,Pharmaceutical company,30/04/2025
2024-515470-26-00,NET-MS,NO EVIDENCE OF DISEASE ACTIVITY AFTER AUTOLOGOUS HAEMATOPOIETIC STEM CELL TRANSPLANTATION IN AGGRESSIVE MULTIPLE SCLEROSIS: THE NET-MS STUDY,"Ongoing, recruiting","Italy:Ongoing, recruiting",18-64 years,N/A,"Female, Male",90,EEA only,Relapsing Remitting Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"FILGRASTIM, RABBIT ANTI-HUMAN THYMOCYTE IMMUNOGLOBULIN, CYTARABINE, Kesimpta 20 mg solution for injection in pre-filled pen, Ocrevus 300 mg concentrate for solution for infusion, Tysabri 300 mg concentrate for solution for infusion, CYTARABINE, MELPHALAN FLUFENAMIDE, ETOPOSIDE, CYTARABINE, CARMUSTINE, ANTI-HUMAN T-LYMPHOCYTE IMMUNOGLOBULIN FROM RABBITS, CYCLOPHOSPHAMIDE, CARMUSTINE, UBLITUXIMAB, CYCLOPHOSPHAMIDE, FILGRASTIM, CYCLOPHOSPHAMIDE, CYTARABINE, CARMUSTINE, LEMTRADA 12 mg concentrate for solution for infusion","The primary outcome is the occurrence of any evidence of multiple sclerosis disease activity (NEDA-3) over 36 months, analyzed as time-to-event [Time frame: from randomization up to 36 months post randomization]","The proportion of participants who experience a serious adverse event [Time frame: from randomization up to 36 months post randomization], The proportion of participants who experience a serious late adverse event [Time frame: from day 100 post AHSCT up to 36 months post randomization]., The annual relapse rate at 12, 24 and 36 months, The incidence of 6 months confirmed disability improvement as measured by the EDSS over 36 months, The prevalence of disability improvement over 36 months, The proportion of patients who have confirmed disability improvement, confirmed stable EDSS or confirmed disability progression at 12, 24 and 36 months, The incidence of 6 months confirmed progression on hand/arm function as measured by the 9HPT over 36 months, The incidence of 6 months confirmed progression on ambulation as measured by the T25FW test over 36 months, Number of new brain lesions at 12, 24 and 36 months, Number of gadolinium-enhancing brain lesions at 12, 24 and 36 months, Changes in whole brain volume at 12, 24 and 36 months, The proportion of patients with no evidence of disease activity including atrophy (NEDA-4) at 12, 24 and 36 months, Changes in MRI T2-weighted hyperintense lesion volume over 36 months, Changes in MRI T1-weighted hypointense lesion volume over 36 months, Changes in BICAMS z-scores at 12, 24 and 36 months, Changes in MSFC z-scores at 12, 24 and 36 months, Changes in serum neurofilament light chain concentration at 12, 24 and 36 months, Changes in the IgG/IgM index in the cerebrospinal fluid at 36 months, Presence of oligoclonal bands in the cerebrospinal fluid at 36 months, Changes in the 2.5 low contrast visual acuity at 12, 24 and 36 months, Changes in the peripheral retinal nerve fiber layer thickness assessed by optical coherence tomography at 12, 24 and 36 months, Changes in the retinal inner nuclear layer thickness assessed by optical coherence tomography at 12, 24 and 36 months, Changes in the Multiple Sclerosis Impact Scale at 12, 24 and 36 months, Changes in Multiple Sclerosis Walking Scale over at 12, 24 and 36 months, Changes in the Modified Fatigue Impact Scale at 12, 24 and 36 months, Changes in the WHO-QOL-Bref and the EuroQoL EQ-5D at 12, 24 and 36 months, All-cause mortality over 36 months, Proportion of participants who develop secondary autoimmune diseases over 36 months, Time to neutrophil engraftment among AHSCT recipients, Proportion of AHSCT recipients who experience primary or secondary graft failure, Percentage of female patients who experiences amenorrhoea during the study period, Percentage of female patients of child-bearing potential who maintains or resumes regular menstruation, Time to resumption of spontaneous menses after AHSCT and/or interruption of hormonal contraception, Variation in ovarian reserve parameters (anti-mullerian hormone levels and antral follicular count) over 36 months, Variation in sperm count, motility and morphology over 36 months, Percentage of pregnancy within 12 months of attempts among patients that will try to conceive after AHSCT [Time frame: from day 365 post AHSCT up to 36 months post randomization]., Number of new cervical spinal cord T2 lesions and of T1 gadolinium-enhancing lesions at 36 months.",09/12/2024,31/10/2024,N/A,N/A,No,Fondazione Italiana Sclerosi Multipla Ente Del Terzo Settore/et S,Patient organisation/association,27/08/2025
2024-519552-93-00,AUTO1-MS1,"A SINGLE-ARM, OPEN-LABEL, PHASE I STUDY TO DETERMINE THE SAFETY, TOLERABILITY, AND PRELIMINARY EFFICACY OF OBE-CEL IN PARTICIPANTS WITH REFRACTORY PROGRESSIVE FORMS OF MULTIPLE SCLEROSIS","Authorised, recruitment pending","Spain:Authorised, recruitment pending",18-64 years,N/A,"Female, Male",3,In both EEA and non-EEA,Refractory Progressive Multiple Sclerosis,"[""Diseases [C] - Immune System Diseases [C20]""]",Human Pharmacology (Phase I)-  Other,N/A,N/A,N/A,26/06/2025,N/A,N/A,N/A,No,Autolus Limited,Pharmaceutical company,22/09/2025
2023-510127-30-00,MSB-IG-H-2101,"Multicenter, Phase Ib/IIa Study on the Safety and Efficacy of Autologous Peptide-coupled Red Blood Cells in Patients with Relapsing Remitting Multiple Sclerosis","Ongoing, recruitment ended","Italy:Ongoing, recruitment ended, Germany:Ongoing, recruitment ended, Czechia:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",126,In both EEA and non-EEA,Relapsing Remitting Multiple Sclerosis (RRMS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Phase I and Phase II (Integrated)- First administration to humans,Autologous uncoupled red blood cells (RBCs),"Safety (Part A and B): Safety and tolerability of CLS12311 measured by the number and severity of treatment-emergent adverse events (TEAEs) and treatment-emergent serious adverse events (TESAEs) and/or worsening of disease by clinical (relapses) and imaging (number and size of MRI brain lesions)., Efficacy (Part B only): The cumulative number of new brain lesions on the MRI scans developed in the treatment phase between weeks 16 and 24 compared to the pre-treatment number of new brain MRI lesions developed between weeks -8 and 0 for any dose., New lesions on brain MRI are defined as being: Contrast enhancing lesions on the reference scan at weeks -8 and 16 or new/enlarging T2 lesions on scan at: week 0 compared to scan at week -8; week 24 compared to scan at week 16, MRIs will be assessed centrally by independent readers","[Safety endpoints (Part A and B)]: Number and severity of TEAEs and TESAEs in each dose group, [Safety endpoints (Part A and B)]: Number of confirmed relapses in the treatment phase in each dose group, [Safety endpoints (Part A and B)]: Changes in clinical measures of disease severity (EDSS, 9-HPT, T25- FW, SDMT) following CLS12311 administration in each dose group (Part A only EDSS), [Efficacy endpoints (Part B)]: Number of new lesions on brain MRI (as defined above) in weeks 16- 24 in the three dose groups • Efficacy of CLS12311 in reducing the number of new brain MRI lesions (as defined above) in defined subgroups, e.g. stratified for HLA or immunological parameters, [Efficacy endpoints (Part B)]: Efficacy of CLS12311 in reducing the number of new brain MRI lesions (as defined above) in defined subgroups, e.g. stratified for HLA or immunological parameters, [Exploratory immunological and biomarker measures (Part A and B)]: Percentage of patients in each dose group showing a reduction of antigen-specific T cells against the protein(s) they responded to at the study entry, [Exploratory immunological and biomarker measures (Part A and B)]: Changes in predefined serum biomarkers of disease activity and in other markers related to tolerance induction, [Exploratory immunological and biomarker measures (Part A and B)]: Mechanistic profiling of serum and blood cells will be performed by measuring specific biomarkers of tolerance, tissue damage and inflammation as well as broad-based methods including but not limited to multi-analyte measurements, transcriptomics and proteomics.",19/09/2024,17/04/2024,N/A,N/A,No,Cellerys AG,Pharmaceutical company,25/03/2025
2024-516992-33-02,504-15-021-21003,"CLASP MS: The study evaluating the efficacy and safety of Polish cladribine in the treatment of patients with secondary progressive multiple sclerosis - a phase 2, randomized, double-blind, placebo-controlled trial.","Authorised, recruitment pending","Poland:Authorised, recruitment pending",18-64 years,N/A,"Female, Male",188,EEA only,Multiple sclerosis secondary progressive form,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"BIODRIBIN, 1 mg/ml, roztwór do infuzji, 0.9% physiological saline (sodium chloride)",Percent brain volume change from last cladribine dose (week 26) to end of study (week 122).,"1.Time to 24-week confirmed composite progression of disability defined as the occurrence of any of the following events: an increase in EDSS score, in time of Timed 25-Foot Walk and 9-Hole Peg Test. 2.Change from baseline in cognitive function (CANTAB, CVLT, SDMT) and quality of life (MSQeL-54) 3.Neuroimaging: number of Gd+ lesions, new T2 lesions, QSM rim+ lesions, volume of T1 lesions (black holes), volume of cervical spinal cord in T1; 4. Serum level of NfL, GFAP, oligoclonal bands presence",30/01/2025,N/A,N/A,N/A,No,Instytut Psychiatrii I Neurologii,Educational Institution,30/01/2025
2022-502552-31-00,257MS201,"A 2-Part, Multicenter, Randomized, Blinded, Active-Controlled Phase 2 Study to Sequentially Evaluate the Safety and Efficacy of BIIB091 Monotherapy and BIIB091 Combination Therapy With Diroximel Fumarate in Participants With Relapsing Forms of Multiple Sclerosis","Ongoing, recruiting","Germany:Ongoing, recruiting, Czechia:Ongoing, recruiting, Spain:Ongoing, recruiting, Italy:Ongoing, recruiting, Poland:Ongoing, recruiting, Bulgaria:Ongoing, recruiting, Romania:Ongoing, recruiting",18-64 years,N/A,"Female, Male",225,In both EEA and non-EEA,Relapsing Forms of Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"Use of placebo is for masking purposes only in this study. all participants will be randomized to one of the active treatment arms. this study does not have a placebo control group, i.e., no participant will receive placebo treatment only., Solu-Moderín 125 mg polvo y disolvente para solución inyectable, Clariscan 0,5 mmol/ml Injektionslösung, BIIB091, Vumerity 231 mg gastro-resistant hard capsules, BIIB091, Use of placebo is for masking purposes only in this study. All participants will be randomized to one of the active treatment arms. This study does not have a placebo control group, i.e., no participant will receive placebo
treatment only.","Part 1: Number of Participants With Adverse Events (AEs), Part 1: Number of Participants With Serious Adverse Events (SAEs), Part 2: Cumulative Number of New T1 Gadolinium-Enhancing (GdE) Lesions","Part 1: Cumulative Number of New T1 Gadolinium-Enhancing (GdE) Lesions, Part 1: Cumulative Number of New or Enlarging T2 Hyperintense Lesions, Part 1: Cumulative Volume of New or Enlarging T2 Hyperintense Lesions, Part 1: Mean Change From Baseline in QT Interval Corrected for Heart Rate Using Fridericia's Formula (QTcF), RR, PR, QRS, and QT Intervals, Part 1: Number of Participants With Change From Baseline in Heart Rate, Part 1: Number of Participants With Clinically Significant Electrocardiogram (ECG) Abnormalities, Part 2: Cumulative Number of New or Enlarging T2 Hyperintense Lesions, Part 2: Cumulative Volume of New or Enlarging T2 Hyperintense Lesions, Part 2: Number of Participants With AEs, Part 2: Number of Participants With SAEs, Part 2: Number of Participants With Change From Baseline in QTcF, RR, PR, QRS, and QT intervals, Part 2: Number of Participants With Change From Baseline in Heart Rate, Part 2: Number of Participants With ECG Abnormalities as Assessed by 12-Lead ECG Measurements",14/08/2023,03/10/2023,N/A,N/A,No,Biogen Idec Research Limited,Pharmaceutical company,21/07/2025
2023-505980-36-00,WA40404,"A Phase IIIb Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis","Ongoing, recruitment ended","France:Ongoing, recruitment ended, Italy:Ongoing, recruitment ended, Romania:Ongoing, recruitment ended, Bulgaria:Ongoing, recruitment ended, Portugal:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended, Croatia:Ongoing, recruitment ended, Belgium:Ongoing, recruitment ended, Spain:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",363,In both EEA and non-EEA,Primary progressive multiple sclerosis (PPMS),"[""Diseases [C] - Nervous System Diseases [C10]"",""Diseases [C] - Immune System Diseases [C20]""]",Therapeutic confirmatory  (Phase III),"Ocrevus 300 mg concentrate for solution for infusion, Placebo Ocrevus, Dormutil N, Ocrevus 300 mg concentrate for solution for infusion, METHYLPREDNISOLONE","1. Time to onset of composite 12-week CDP defined as the time from randomization to the first occurrence of either 12-week CDP in 9-HPT, or 12-week CDP in EDSS","1. Time to 12-week CDP in EDSS, as a pre-defined increase in EDSS score confirmed for at least 12 weeks, 2. Time to 24-week CDP in 9-HPT, 3. Time to 24-week CDP in EDSS, as a pre-defined increase in EDSS score confirmed for at least 24 weeks, 4. Annual rate of percent change from baseline in total volume of T2 lesions, 5. Annual rate of percent change from Week 24 in total brain volume, 6. Incidence and nature of adverse events, serious adverse events, adverse events leading to study treatment withdrawal, 7. Change from baseline in laboratory test results for hematology and chemistry association of decrease in certain laboratory parameters, and serious infections, 8. Presence of ADA during the study relative to baseline, 9. Total plasma clearances (CL) of ocrelizumab, 10. Volumes of distribution(Vd) of ocrelizumab, 11. Area under the concentration-time curve (AUC) of ocrelizumab",31/01/2024,19/09/2019,N/A,N/A,No,F. Hoffmann-La Roche AG,Pharmaceutical company,12/08/2025
2023-505283-11-00,COMB157G2410,"A phase IV, prospective, multicenter, open-label, mother-milk study to evaluate ofatumumab concentration in the breast milk of lactating women with relapsing forms of multiple sclerosis receiving ofatumumab (Kesimpta®)","Authorised, recruiting","Germany:Ongoing, recruiting, France:Not authorised, Italy:Ongoing, recruiting, Poland:Ongoing, recruiting",18-64 years,N/A,Female,15,In both EEA and non-EEA,Relapsing forms of Multiple Sclerosis (RMS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic use (Phase IV),Kesimpta 20 mg solution for injection in pre-filled syringe,"The concentration of ofatumumab in breast milk at the following timepoints: (pre-dose) on the day of the second (or any subsequent) maintenance dose, then 7, 14, 21 and (pre-dose) 28 days after the second (or any subsequent) maintenance dose.","Proportion of participants with at least 1 sample with quantifiable ofatumumab concentrations in breast milk, Maximum concentration (Cmax) of ofatumumab in breast milk over 28 days after the second (or any subsequent) maintenance dose., The exposure (area under the curve (AUC) of ofatumumab in milk over 28 days (from the second or any subsequent maintenance dose to the next maintenance dose after initiation or re-initiation of ofatumumab post-partum), Milk/Plasma (M/P) ratio of ofatumumab at 28 days after the second or any subsequent maintenance dose., Estimated relative infant dose (RID, %) over 28 days after the lactating mother receives second or subsequent maintenance dose, Rate and nature of adverse events in the mothers treated with ofatumumab up to 12 months after ofatumumab treatment initiation/re-initiation, Rate and nature of serious adverse events and any infections in the breast-fed infants of mothers up to 12 months after ofatumumab treatment initiation/re-initiation",06/06/2024,10/12/2024,N/A,N/A,No,Novartis Pharma AG,Pharmaceutical company,07/07/2025
2024-514006-31-00,CYTB323R12101,"An open-label, multi-center, phase I/II study to assess safety, disease progression, and cellular kinetics following YTB323 administration in participants with non-active Progressive Multiple Sclerosis (PMS)","Authorised, recruitment pending","Spain:Authorised, recruitment pending, France:Authorised, recruitment pending, Italy:Authorised, recruitment pending, Germany:Authorised, recruitment pending",18-64 years,N/A,"Female, Male",18,In both EEA and non-EEA,Non-active Progressive Multiple Sclerosis (PMS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Phase I and Phase II (Integrated)- Other,"CYCLOPHOSPHAMIDE, TOCILIZUMAB, YTB323, FLUDARABINE PHOSPHATE","Occurrence, severity and frequency of dose limiting toxicities (DLTs), Adverse Events (AEs) and change from baseline over 2 years in safety parameters including, but not limited to vital signs, laboratory, ECG, neurological status, and safety measures from brain MRI.","Change from baseline for clinical measures of disability (includes EDSS, T25FW, 9HPT, SDMT)., YTB323 transgene expression levels by qPCR over time in blood; cellular kinetics parameters (Cmax, AUC, Tmax, Clast, Tlast)., Safety data from each dose level., Pre-existing and treatment-induced immunogenicity (humoral, anti-YTB323 antibody; and cellular, presence of CAR19 specific CD4 and CD8 T cells measuring interferon gamma production).",22/04/2025,N/A,N/A,N/A,No,Novartis Pharma AG,Pharmaceutical company,24/04/2025
2024-518859-27-00,N/A,"Effect of ozanimod on meningeal inflammation and glial activation in Multiple Sclerosis: one year phase 4 experimental study
PROTOCOL CODE: OZA22 / IM047 - 048","Ongoing, recruiting","Italy:Ongoing, recruiting","65+ years, 18-64 years",N/A,"Female, Male",50,EEA only,"Relapsing Multiple Sclerosis (relapsing-remitting, relapsing-progressive)","[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic use (Phase IV),Zeposia 0.92 mg hard capsules,CSF (and serum) concentration of CXCL13 protein (ng/ml/mgPro) measured before starting ozanimod treatment (Prebaseline) and at T12.,"CSF (and serum) concentration of specific markers of activated meningeal inflammation (CXCL12, TNF-a, IFN-¿) (ng/ml/mgPro) measured before starting ozanimod treatment (Prebaseline) and at T12., CSF (and serum) concentration of specific makers of activated microglia/macrophages (Chitinase 3-like1, Osteopontin, sCD163, CX3CL1) (ng/ml/mgPro) measured before starting ozanimod treatment (Prebaseline) and at T12., CSF (and serum) concentration of specific markers of neuronal/axonal damage (neurofilamentlight chains, parvalbumin) (ng/ml/mgPro) measured before starting ozanimod treatment (Prebaseline) and at T12, Number and volume of cortical lesions measured before starting ozanimod treatment (Prebaseline) and at T12, Number and susceptibility of of paramagnetic rim lesions measured before starting ozanimod treatment (Prebaseline), at baseline (T0) and after 1 year of ozanimod treatment (T12), Variation of the volume of white matter lesions before starting ozanimod treatment (¿ prebaseline-T0) and after 1 year of ozanimod treatment (¿ T0-T12), Variation global and regional cortical thickness change before starting ozanimod treatment (¿prebaseline-T0) and after 1 year of ozanimod treatment (¿ T0-T12), Significant linear relationship between the variation of the above-mentioned cytokines (¿ T0-T12) and the EDSS change (¿ T0-T12) or the relapse number by the end of the follow-up (T12)",11/11/2024,06/07/2023,N/A,N/A,No,Azienda Ospedaliera Universitaria Integrata Verona,Hospital/Clinic/Other health care facility,11/11/2024
