NCTId,BriefTitle,OfficialTitle,OverallStatus,StartDate,PrimaryCompletionDate,CompletionDate,LastUpdatePostDate,StudyFirstPostDate,StudyType,Phase,EnrollmentCount,EnrollmentType,LeadSponsorName,LeadSponsorClass,Collaborators,CollaboratorClasses,Conditions,Keywords,LocationCountry,LocationCity,LocationState,TotalLocations,InterventionNames,InterventionTypes,PrimaryOutcomeMeasures,SecondaryOutcomeMeasures,HasResults,ResultsFirstPostDate
NCT07086950,"Neurorehabilitation of Cognitive Deficits in Multiple Sclerosis Using an Adaptive Cognitive Exergame - Randomized, Controlled, Multi-center Clinical Trial","Neurorehabilitation of Cognitive Deficits in Multiple Sclerosis Using an Adaptive Cognitive Exergame - Randomized, Controlled, Multi-center Clinical Trial",NOT_YET_RECRUITING,2025-09-01,2028-06-30,2028-06-30,2025-07-25,2025-07-25,INTERVENTIONAL,EARLY_PHASE1,190.0,ESTIMATED,"Prof. Arseny Sokolov, MD, PhD",OTHER,,,Multiple Sclerosis|Neurorehabilitation,,,,,0,Body Brain Trainer software|RehaCom software,DEVICE|DEVICE,PDQ-20,,False,
NCT03499314,A Pilot Trial of Remotely-Supervised Transcranial Direct Current Stimulation (RS-tDCS) to Enhance Motor Learning in Progressive Multiple Sclerosis (MS),A Pilot Trial of Remotely-Supervised Transcranial Direct Current Stimulation (RS-tDCS) to Enhance Motor Learning in Progressive Multiple Sclerosis (MS),COMPLETED,2018-04-15,2020-11-30,2020-11-30,2022-03-09,2018-04-17,INTERVENTIONAL,NA,65.0,ACTUAL,NYU Langone Health,OTHER,,,Multiple Sclerosis,Anodal transcranial stimulation (tDCS),United States,New York,New York,1,Active RS-tDCS +At-Home Manual Dexterity Training|Sham RS-tDCS +At-Home Manual Dexterity Training|Manual dexterity training,DEVICE|DEVICE|OTHER,Mean Preload Phase Duration (PLD),,True,2022-03-09
NCT04756687,Real World Analysis on Lymphocyte Reconstitution After Lymphopenia in Participants Treated by Tecfidera,A Retrospective Analysis in Real World on Lymphocyte Reconstitution After Lymphopenia in Patients Treated by Tecfidera and Description of Management Strategies in France,COMPLETED,2021-03-10,2021-06-15,2021-06-15,2023-10-23,2021-02-16,OBSERVATIONAL,,1507.0,ACTUAL,Biogen,INDUSTRY,,,"Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting",,France,Amiens,,32,Dimethyl fumarate,DRUG,Time to ALC Reconstitution After DMF Discontinuation,Time From DMF Initiation to Lymphopenia Initiation Assessed in Participants With and Without DMF Discontinuation|Time From DMF Initiation to Lymphopenia Assessed at Time of DMF Discontinuation|Percent Change in ALC Over Time From DMF Initiation to DMF Discontinuation or End of Study|Time From DMF Initiation to DMF Discontinuation|Percentage of Participants with Discontinuation of DMF Treatment|Time to DMF Discontinuation to the First Relapses and/or an EDSS Progression|Percentage of Participants With Serious or Opportunistic Infections in Overall and According to DMF On-going or not and in Lymphopenic Population|Percentage of Participants With Serious and Opportunistic Infections in Overall and in Lymphopenic Population|Time to Occurrence of Lymphopenia During DMF Treatment Assessed in Association Between Demographic and Clinical Characteristics|Time to Lymphocyte Reconstitution After DMF Discontinuation Assessed in Association Between Demographic and Clinical Characteristics|Percent Change from Baseline in Absolute CD4+ Count|Percent Change from Baseline in Absolute CD8+ Count|Percent Change from Baseline in Absolute CD4+/CD8+ Ratio,False,
NCT06072287,The Living With a Long-Term Condition Study,Testing the Reliability and Validity of a New Measure for Illness-related Distress.,RECRUITING,2023-06-28,2023-12-31,2024-01-10,2023-10-12,2023-10-10,OBSERVATIONAL,,600.0,ESTIMATED,King's College London,OTHER,,,Asthma|Atrial Fibrillation|Cancer|Cerebrovascular Disorders|Stroke|CKD|Copd|Fibromyalgia|Pain|Heart Diseases|Heart Disease Chronic|Dementia|Diabetes|Epilepsy|Heart Failure|High Blood Pressure|Hypertension|Hiv|AIDS|IBD|IBS|Liver Diseases|Long COVID|Lupus Erythematosus|Multiple Sclerosis|Obesity|Osteoarthritis|Arthritis|Rheumatoid Arthritis|Osteoporosis|Parkinson Disease|Sickle Cell Disease|Hepatitis|Endometriosis|PCOS|Neurological Disorder|POTS - Postural Orthostatic Tachycardia Syndrome|MND (Motor Neurone DIsease)|Cystic Fibrosis|Migraine|Spondylitis|Celiac Disease|Hidradenitis Suppurativa|Eczema|ME/CFS,mental health|depression|anxiety|chronic illness,United Kingdom,London,,1,Living with LTC Questionnaire,DIAGNOSTIC_TEST,Illness-related distress,Depression|Anxiety|Functional impairment|Diabetes Related Distress Scale|IBD Distress Scale|Cognitive and Behavioural Responses to Symptoms,False,
NCT05543915,Cognitive Markers in Prodromal MS,Intra-Individual Variability in Cognitive Performance as a Marker of Prodromal Disability in MS,COMPLETED,2022-02-09,2024-06-20,2024-06-20,2025-07-14,2022-09-16,INTERVENTIONAL,NA,60.0,ACTUAL,NYU Langone Health,OTHER,National Multiple Sclerosis Society,OTHER,Multiple Sclerosis,,United States,New York,New York,1,Active tDCS,DEVICE,Cerebral Metabolic Rate of Oxygen (CMRO2)|Intra-Individual Variability (IIV) as Measured by Cogstate Brief Battery (CBB),Brief International Cognitive Assessment for MS (BICAMS) Symbol Digit Modalities Test (SDMT) Z-Score|BICAMS Rey Auditory Verbal Learning Test (RAVLT) Z-Score|BICAMS Brief Visuospatial Memory Test Revised (BVMT-R) Z-Score,True,2025-07-14
NCT05422625,PTNS for Female Patients Suffering From Multiple Sclerosis,Percutaneous Tibial Nerve Stimulation (PTNS) Therapy for Female Patients Suffering From Multiple Sclerosis,TERMINATED,2023-01-09,2023-04-10,2023-08-03,2024-10-09,2022-06-16,INTERVENTIONAL,NA,2.0,ACTUAL,William Beaumont Hospitals,OTHER,,,Multiple Sclerosis|Overactive Bladder,Multiple Sclerosis|MS|Overactive bladder|OAB,United States,Royal Oak,Michigan,1,PTNS Treatment|Sham PTNS Treatment,DEVICE|DEVICE,The Overall Patient Reported Change of Bladder Overactivity (OAB) Symptoms in MS Patients as Reported on the Patient Global Impression of Improvement (PGI-I) Questionnaire,Change in Urinary Voids in Response to the Treatment Using a 3-day Voiding Diary|Change in Urinary Incontinence Episodes in Response to the Treatment Using a 3-day Voiding Diary|Change in Urinary Urgency Episodes in Response to the Treatment Using a 3-day Voiding Diary|Change in Overactive Bladder Symptoms in Response to the Treatment Using the Overactive Bladder Quality of Life Short Form Questionnaire.,True,2024-10-09
NCT01185717,JC-virus (JCV) Epidemiology in Multiple Sclerosis (MS),Epidemiology of Anti-JCV Antibody Prevalence in Multiple Sclerosis Patients,COMPLETED,2010-09,2012-05,2012-06,2014-06-02,2010-08-20,OBSERVATIONAL,,7726.0,ACTUAL,Biogen,INDUSTRY,,,Multiple Sclerosis,,,,,0,,,Prevalence of anti-JCV antibodies,,False,
NCT01964547,A Randomized Study of Sativex on Cognitive Function and Mood: Multiple Sclerosis Patients,"A Multicentre, Double-blind, Randomised, Parallel Group, Placebo-controlled Study of the Effect of Long-term Treatment With Sativex on Cognitive Function and Mood of Patients With Spasticity Due to Multiple Sclerosis",COMPLETED,2012-01,2013-05,2013-05,2023-01-12,2013-10-17,INTERVENTIONAL,PHASE4,121.0,ACTUAL,Jazz Pharmaceuticals,INDUSTRY,,,Multiple Sclerosis|Spasticity,Cognition|Mood,Czechia,Prague,,1,Sativex|Placebo,DRUG|DRUG,Change From Baseline to the End of Treatment in Paced Auditory Serial Addition Test (PASAT) Total Score.,Change From Baseline to the End of Treatment in Beck Depression Inventory-II (BDI-II) Total Score.|Subject Global Impression of Change (SGIC) in the Severity of Their Spasticity at the End of Treatment.|Caregiver's Global Impression of Change (CGIC) in the Severity of the Patient's Spasticity at the End of Treatment.|Physician's Global Impression of Change (PGIC) in the Severity of the Patient's Spasticity at the End of Treatment.|Change From Baseline to End of Treatment in Modified Ashworth Scale Total Score.|Change From Baseline to End of Treatment in Number of Visits to a Healthcare Professional.|The Number of Patients With a Treatment-emergent Flag Using the Columbia-Suicide Severity Rating Scale (C-SSRS) During the Course of the Study.|Change From Baseline to End of Treatment in Timed 10-meter Walk Times.|Incidence of Adverse Events as a Measure of Patient Safety.,True,2014-05-02
NCT00772525,Single Oral Doses Study of Nerispirdine on Visual Function in Patients With Multiple Sclerosis,"A Double-blind, Placebo-controlled, Randomized Crossover, Activity Study of Single Oral Doses of 50 mg and 400 mg Nerispirdine on Visual Function in Patients With Multiple Sclerosis",COMPLETED,2008-09,2009-06,2009-06,2016-02-26,2008-10-15,INTERVENTIONAL,PHASE2,31.0,ACTUAL,Sanofi,INDUSTRY,,,Multiple Sclerosis|Optic Nerve|Neuritis,Visual acuity|Contrast sensitivity|Visual Evoked Potentials|Optical Coherence Tomography,United States,Bridgewater,New Jersey,1,Nerispirdine|Placebo,DRUG|DRUG,Visual Evoked Potential (P100) latency,Pelli-Robson Contrast Sensitivity Score|Early Treatment Diabetic Retinopathy Study (EDTRS) visual acuity score|Visual Evoked Potential (VEP) amplitude,False,
NCT01874340,Efficacy and Safety of AIN457 (Secukinumab) in Patients With Relapsing Multiple Sclerosis,"A Phase II, Multicenter, Randomized, Double-blind, Parallel Group, Placebo-controlled, Adaptive Dose-ranging Study to Evaluate the Efficacy and Safety of AIN457 (Secukinumab) in Patients With Relapsing Multiple Sclerosis",TERMINATED,2013-06,2014-04,2014-04,2015-06-01,2013-06-11,INTERVENTIONAL,PHASE2,28.0,ACTUAL,Novartis Pharmaceuticals,INDUSTRY,,,Multiple Sclerosis,Multiple Sclerosis|Relapsing Multiple Sclerosis|AIN457|Secukinumab|Magnetic Resonance Imaging|Relapsing Remitting Multiple Sclerosis|Autoimmune Diseases|Nervous System Diseases|Immune System Diseases|Demyelinating Diseases,Belgium,Bruges,,13,Placebo|AIN457,DRUG|DRUG,Cumulative Number of New Gadolinium [Gd]-Enhancing T1-weighted Lesions,Annualized Relapse Rate|Combined Unique Active Lesions (CUAL)|Change in Total Volume of T2-weighted Lesions|Number of Particpants With Adverse Events as a Measure of Safety and Tolerability,True,2015-06-01
NCT02769767,"Polymorphisms of Interleukins, Glypican, and Human Leukocyte Antigen Genes and Treatment Response in Multiple Sclerosis.","Association of Polymorphisms of the Interleukin-7 Receptor-α (IL-7R), Glypican 5 (GPC5), Interleukin-2 Receptor-α (IL2-RA) , Human Leukocyte Antigen Class II Beta Chain (HLA-DRB1) Genes and Treatment Response in Multiple Sclerosis (MS).",UNKNOWN,2012-08,2016-12,2016-12,2016-05-12,2016-05-12,OBSERVATIONAL,,500.0,ESTIMATED,Instituto Jalisciense de Cancerologia,OTHER_GOV,Instituto Mexicano del Seguro Social|University of Guadalajara,OTHER_GOV|OTHER,"Multiple Sclerosis, Relapsing-Remitting",,Mexico,Guadalajara,Jalisco,1,"Polymorphism of Interleukins, Glypican, and Human Leukocyte Antigen Genes.",GENETIC,"Treatment response evaluated by relapses per year, evaluated during two years after recruitment.|Treatment response evaluated by Expanded Disability Status Scale (EDSS) during two years after recruitment.","Multiple Sclerosis Risk Conferred by Single Nucleotide Polymorphisms (SNPs) of Interleukins, Glypican, and Human Leukocyte Antigen Genes.",False,
NCT03207464,Molecular Imaging of Norepinephrine Transporter (NET) Using [C-11]Methylreboxetine PET in Multiple Sclerosis,Molecular Imaging of Norepinephrine Transporter (NET) Using [C-11]Methylreboxetine PET in Multiple Sclerosis,UNKNOWN,2017-10-10,2021-12-31,2021-12-31,2020-12-11,2017-07-02,INTERVENTIONAL,PHASE1|PHASE2,19.0,ESTIMATED,Brigham and Women's Hospital,OTHER,,,Multiple Sclerosis,,United States,Boston,Massachusetts,1,[C-11]Methylreboxetine,DRUG,Tissue Volume of Distribution,,False,
NCT05809414,Amantadine and Transcranial Magnetic Stimulation for Treating Fatigue in Multiple Sclerosis,"Amantadine and Transcranial Magnetic Stimulation for Treating Fatigue in Multiple Sclerosis: Phase III Study, Controlled, Randomized, Crossed Over and Double Blind.",RECRUITING,2022-11-28,2024-07-15,2025-02-28,2023-12-11,2023-04-12,INTERVENTIONAL,PHASE3,144.0,ESTIMATED,"Hospital San Carlos, Madrid",OTHER,,,Multiple Sclerosis|Fatigue,Amantadine|Multiple Sclerosis|Fatigue|Transcranial Magnetic Stimulation (TMS)|Modified Fatigue Impact Scale (MFIS),Spain,Cadiz,,4,Transcranial Magnetic Stimulation|Amantadine Hydrochloride 100 mg (milligrams) Oral Capsule,DEVICE|DRUG,To assess the fatigue severity,To assess the cognitive condition|To assess the depression condition|To assess the quality of life|Safety assessment|Cost-effectivity assessment,False,
NCT00078338,Rebif® Versus Copaxone® in the Treatment of Relapsing Remitting Multiple Sclerosis,"Phase IV, Multicenter, Open Label, Randomized Study of Rebif® 44 mcg Administered Three Times Per Week by Subcutaneous Injection Compared With Copaxone® 20 mg Administered Daily by Subcutaneous Injection in the Treatment of Relapsing Remitting Multiple Sclerosis",COMPLETED,2004-02-16,2006-11-28,2006-11-28,2018-06-27,2004-02-26,INTERVENTIONAL,PHASE4,764.0,ACTUAL,EMD Serono,INDUSTRY,Pfizer,INDUSTRY,Relapsing-remitting Multiple Sclerosis,,United States,Birmingham,Alabama,80,Rebif®|Copaxone®,DRUG|DRUG,Time to First Relapse,,True,2018-06-27
NCT05013463,Hydroxychloroquine and Indapamide in SPMS,"Open-label, Single-center, Single-arm Futility Trial Evaluating the Combination of Oral Hydroxychloroquine 200mg BID and Indapamide 2.5mg OD for Reducing Progression of Disability in People With Secondary Progressive Multiple Sclerosis (SPMS)",UNKNOWN,2021-10-01,2023-09-01,2024-09-01,2022-05-18,2021-08-19,INTERVENTIONAL,PHASE2,35.0,ESTIMATED,University of Calgary,OTHER,,,"Multiple Sclerosis, Secondary Progressive",,Canada,Calgary,Alberta,1,Hydroxychloroquine Pill|Indapamide Pill,DRUG|DRUG,Timed 25-Foot Walk (T25FW),9-Hole Peg Test|Symbol Digit Modalities Test|Functional Systems and Expanded Disability Status Scale (EDSS)|Modified Fatigue Impact Scale (MFIS)|Multiple Sclerosis Quality of Life Scale 54 item version,False,
NCT00203021,Glatiramer Acetate (Copaxone®) Study to Follow Participants From the First Original Study for Safety and Effectiveness,Open Label Study to Evaluate the Safety of Copaxone® and to Monitor the Neurologic Course of Disease in Multiple Sclerosis Patients Treated With Copaxone,COMPLETED,1994-03-26,2018-02-28,2018-02-28,2020-02-18,2005-09-20,INTERVENTIONAL,PHASE4,208.0,ACTUAL,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,,,Relapsing-Remitting Multiple Sclerosis,,United States,Los Angeles,California,11,Glatiramer acetate,DRUG,Number of Participants With Adverse Events (AEs)|Change From Baseline in Kurtzke Expanded Disability Status Scale (EDSS) Score at Month 288,,True,2019-07-18
NCT00837785,A 24-Hour Pharmacokinetic Determination of BG00012 After Single-Day Oral Administration in Subjects With MS,A 24-Hour Pharmacokinetic Determination of BG00012 After Single-Day Oral Administration in Subjects With Multiple Sclerosis,COMPLETED,2009-02-28,2009-10-31,2009-10-31,2018-02-15,2009-02-05,INTERVENTIONAL,PHASE1,48.0,ACTUAL,Biogen,INDUSTRY,,,Relapsing Remitting Multiple Sclerosis,,Germany,Berlin,,1,BG00012|BG00012,DRUG|DRUG,To establish a PK profile of MMF during a 24-hour BG00012 dosing period in subjects with RRMS,To explore the relationship of differences in baseline demographics and dosing factors in the disposition of BG00012,False,
NCT02418897,Role of Neuromuscular Junction Function in Motor Fatigue in Multiple Sclerosis,Does Abnormal Neuromuscular Junction Function Play a Role in the Pathogenesis of Motor Fatigue in Women With Multiple Sclerosis?,COMPLETED,2015-04,2016-11,2016-11,2016-11-16,2015-04-16,OBSERVATIONAL,,40.0,ACTUAL,Texas Tech University Health Sciences Center,OTHER,,,Multiple Sclerosis,Fatigue|multiple sclerosis|neuromuscular junction|SFEMG,United States,Lubbock,Texas,1,,,Number of patients with abnormal Jitter.,Score of fatigue (Fatigue severity scale (FSS) and modified fatigue impact scale (MFIS)),False,
NCT02580435,Deciphering the Role of the Gut Microbiota in Multiple Sclerosis,Deciphering the Role of the Gut Microbiota in Multiple Sclerosis,UNKNOWN,2015-12,2020-12,2021-12,2015-10-29,2015-10-20,OBSERVATIONAL,,520.0,ESTIMATED,Sheba Medical Center,OTHER_GOV,Weizmann Institute of Science,OTHER,Multiple Sclerosis,multiple sclerosis|microbiome|prediction|outcome,,,,0,,,1. Change in expression of intestinal microbiome composition between MS patients and healthy controls.|Change in microbiome expression intestinal microbiome composition between MS patients phenotypes.,,False,
NCT00581997,QAX576 in Patients With Pulmonary Fibrosis Secondary to Systemic Sclerosis,"A Randomized, Double-blinded, Placebo Controlled, Multiple-dose, Multi-center Pilot Study, to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Intravenous Doses of QAX576 in Patients With Pulmonary Fibrosis Secondary to System Sclerosis",TERMINATED,2007-12,2009-04,,2020-12-19,2007-12-28,INTERVENTIONAL,PHASE2,8.0,ACTUAL,Novartis Pharmaceuticals,INDUSTRY,,,Pulmonary Fibrosis Secondary to Systemic Sclerosis,"Pulmonary fibrosis, systemic sclerosis",,,,0,QAX576|Placebo,DRUG|DRUG,"- Safety assessments including vital Signs, ECG's, Echocardiograms and blood draws. - The pharmacokinetics and pharmacodynamics of multiple doses of the drug will be assessed by blood draws at the 3 dosing visits. A blood sample will also be collected.","- The effect of the drug on biomarkers of pulmonary fibrosis and systemic sclerosis. - Pulmonary function tests. - Disease specific measurements, active hand extension, oral aperture, MRSS.",False,
NCT03999788,miR-142-3p as Potential Biomarker of Synaptopathy in MS,Clinical Relevance of miR-142-3p as Potential Biomarker of Synaptopathy in Multiple Sclerosis,RECRUITING,2019-12-10,2024-12-28,2025-12-28,2024-03-29,2019-06-27,INTERVENTIONAL,NA,1000.0,ESTIMATED,Neuromed IRCCS,OTHER,,,Multiple Sclerosis|Spasticity,microRNA|Multiple Sclerosis|synaptopathy|lower limb spasticity|transcranial magnetic stimulation|repetitive TMS stimulation protocol|GLAST/EAAT1|single nucleotide polymorphisms|Intermittent theta burst stimulation (iTBS),Italy,Pozzilli,Isernia,1,lumbar puncture and blood withdrawal|Intermittent theta burst stimulation (iTBS) therapeutic protocol for spasticity,PROCEDURE|PROCEDURE,CSF concentration of miR-142-3p|CSF concentration of soluble molecules|Clinical disability assessment by Progression Index calculation for correlation analysis with CSF-miR-142-3p levels|Clinical disability assessment by MSFC calculation for correlation analysis with CSF-miR-142-3p levels|Neuroradiological assessment for correlation analysis with CSF-miR-142-3p levels|Neurophysiological assessments for correlation analysis with CSF-miR-142-3p levels|Statistical correlation of miR-142-3p levels in MS CSF with disease and neurophysiological parameters,Statistical correlation of miR-142-3p levels in MS CSF with patient's responsiveness to disease modifying therapies (DMTs).|Genotyping of SNPs in SLC1A3 and MIR-142 genes for correlation analysis with disease parameters|Lower limb spasticity assessment by H/M amplitude ratio for the therapeutic TMS substudy|Lower limb spasticity assessment by MAS score for the therapeutic TMS substudy|Statistical correlation of response to iTBS treatment with MS-significant SNPs of both SLC1A3 and MIR-142.,False,
NCT00338741,Rebif® Pregnancy Registry,Rebif® Pregnancy Registry,COMPLETED,2002-12,2007-10,2008-02,2013-08-05,2006-06-20,OBSERVATIONAL,,36.0,ACTUAL,EMD Serono,INDUSTRY,Pfizer,INDUSTRY,Multiple Sclerosis,,United States,Rockland,Massachusetts,1,,,Spontaneous Abortion,Fetal Death/Stillbirth,True,2010-06-02
NCT02694666,Vibration Training for Preventing Falls in Healthy Population and Multiple Sclerosis,Effects of Controlled Whole-body Vibration Training on Preventing Falls Among Healthy Population and Ambulatory People With Multiple Sclerosis,TERMINATED,2016-04,2023-04-10,2023-04-10,2023-11-18,2016-02-29,INTERVENTIONAL,NA,58.0,ACTUAL,Georgia State University,OTHER,,,Falls Prevention,,United States,Atlanta,Georgia,1,Controlled whole-body vibration training,OTHER,Real life falls,Berg Balance Scale test|Slip-related falls on treadmill|Functional mobility|Sensation|Muscle strength|Range of motion|Bone density|Multiple Sclerosis Functional Composite score|Equiscale balance test|Symbol Digit Modalities test|Selective Reminding test|Behavior Rating Inventory of Executive Function,False,
NCT04833673,"The Effects of Relaxation Techniques on Pain, Fatigue and Kinesiophobia in Multiple Sclerosis Patients: A Three Arms Randomized Trial","The Effects of Relaxation Techniques on Pain, Fatigue and Kinesiophobia in Multiple Sclerosis Patients: A Three Arms Randomized Trial",COMPLETED,2020-06-22,2020-12-30,2021-03-15,2021-04-06,2021-04-06,INTERVENTIONAL,NA,80.0,ACTUAL,Hacettepe University,OTHER,,,"Multiple Sclerosis, Relapsing-Remitting|Pain, Chronic|Fatigue Syndrome, Chronic|Kinesiophobia",multiple sclerosis|pain|fatigue|kinesiophobia|relaxation techniques|muscle relaxation,Turkey (Türkiye),Ankara,None Selected,1,PMR: Progressive Muscle Relaxation|BRT:Benson Relaxation Technique,BEHAVIORAL|BEHAVIORAL,Fatigue,Chronic Pain|Kinesiophobia,False,
NCT03597451,The Effects of Muscles Strength on Physical Performance in Patients With Multiple Sclerosis,"The Effects of Extremity and ""Core"" Muscles Strength on Walking and Sit-to-Stand Performance in Patients With Multiple Sclerosis",COMPLETED,2018-08-13,2020-02-28,2020-03-06,2020-04-09,2018-07-24,OBSERVATIONAL,,87.0,ACTUAL,Gazi University,OTHER,,,Multiple Sclerosis,strength|walking|sit-to-stand,Turkey (Türkiye),Ankara,,1,,,strength of extremity muscles,6 minutes walking test|timed up and go test|sit-to-stand test|Side Bridge Test (core muscles endurance)|Modified Biering-Sorensen test (core muscles endurance)|Trunk Flexion Test (core muscles endurance)|Prone bridge test (core muscles endurance),False,
NCT05777629,"Determination of Compliance to Mediterranean Diet, Impacts on Walking and Quality of Life in Multiple Sclerosis","Determination of Compliance to Mediterranean Diet, Impacts on Walking and Quality of Life in Multiple Sclerosis",UNKNOWN,2021-02-28,2023-05-30,2023-06-01,2023-03-21,2023-03-21,OBSERVATIONAL,,103.0,ACTUAL,University of Gaziantep,OTHER,,,Multiple Sclerosis,Multiple Sclerosis|Mediterranean Diet|Quality of Life|Walking,Turkey (Türkiye),Gaziantep,,1,,,Mediterranean Diet Compliance Status|Quality of Life Of Multiple Sclerosis Patients|Impacts on Walking|Expanded Disability Status Scale,,False,
NCT01442194,Safety Study in Patients With Multiple Sclerosis Treated Fingolimod or Other Approved Disease-modifying Therapies,"Long-term, Prospective,Multinational, Parallel-cohort Study Monitoring Safety in Patients With MS Newly Started With Fingolimod Once Daily or Treated With Another Approved Disease-modifying Therapy",COMPLETED,2011-08-01,2020-07-10,2020-07-10,2022-01-14,2011-09-28,OBSERVATIONAL,,3076.0,ACTUAL,Novartis Pharmaceuticals,INDUSTRY,,,Multiple Sclerosis,Multiple sclerosis|fingolimod|observational study,United States,Birmingham,Alabama,238,other disease-modifying therapy|Fingolimod,DRUG|DRUG,"For each of the selected safety outcomes, number of patients with a reported event since study start","Number of patients SAEs since study start|PRIMUS activities, comparison of mean change between the 2 cohorts|TSQM-9, comparison between the 2 cohorts|WPAI-GH, comparison of mean change between the 2 cohorts|MSIS-29, comparison of mean change between the 2 cohorts",False,
NCT02601131,Post-transfusion Platelet Count,Post-transfusion Platelet Count,COMPLETED,2016-02,2016-09,2016-09,2016-11-29,2015-11-10,OBSERVATIONAL,,80.0,ACTUAL,Region Skane,OTHER,,,Leukemia|Multiple Sclerosis,platelet count|platelet transfusion|complement factors|endothelial markers|stem cell transplantation,Sweden,Lund,,1,Platelet transfusion,BIOLOGICAL,Change in platelet count after platelet transfusion,Change in concentrations of complement factors in plasma after platelet transfusion|Change in concentrations of endothelial markers in plasma after platelet transfusion|Change in concentrations of complement factors in platelet rich plasma after platelet transfusion|Analysis of platelets in platelet transfusions given to patients included in the study,False,
NCT05451251,Deep Brain Stimulation for Refractory Trigeminal Neuralgia with a Pontine Lesion,Deep Brain Stimulation for Refractory Trigeminal Neuralgia with a Pontine Lesion: a Pilot Study,RECRUITING,2024-10-15,2025-10-15,2026-10,2024-12-12,2022-07-11,INTERVENTIONAL,PHASE1,6.0,ESTIMATED,Université de Sherbrooke,OTHER,,,Trigeminal Neuralgia,Multiple sclerosis|Deep brain stimulation|Pontine lesion,Canada,Sherbrooke,Quebec,1,Deep brain stimulation,DEVICE,Demonstrating the feasibility of the intervention by assessing protocol completion without deviation,Lead implantation accuracy|Pain evolution|Facial numbness|Complications|Quality of life progression|Patient acceptability of the procedure|Patient global impression of change,False,
NCT04009005,Clinically Isolated Syndrome and Relapsing-Remitting Multiple Sclerosis,Clinically Isolated Syndrome and Relapsing-Remitting Multiple Sclerosis,ACTIVE_NOT_RECRUITING,2020-05-01,2022-08-01,2027-09-01,2025-03-25,2019-07-05,INTERVENTIONAL,NA,44.0,ACTUAL,Terry L. Wahls,OTHER,,,Clinically Isolated Syndrome|Relapsing Remitting Multiple Sclerosis,,United States,Iowa City,Iowa,1,Therapeutic diet and lifestyle,BEHAVIORAL,MS 54 Quality of Life scale physical health score|MS 54 Quality of Life scale mental health score,Anxiety Score -Hospital Anxiety and Depression Survey|Depression score -Hospital Anxiety and Depression Survey|Magnetic Resonance Imaging of CNS|Magnetic Resonance Imaging of CNS|Magnetic Resonance Imaging of CNS|Magnetic Resonance Imaging of CNS|MS Clinical symptoms over time|MS Clinical symptoms over time|MS Clinical symptoms over time|MS Clinical symptoms over time|Dietary intake,False,
NCT04705870,Comparison of the Performance of an Optimized 3D EPI SWI Sequence and a Non-EPI QSM SWI Sequence in Detecting the Central Vein Sign in Patients With Multiple Sclerosis,Comparison of the Performance of an Optimized 3D EPI SWI Sequence and a Non-EPI QSM SWI Sequence in Detecting the Central Vein Sign in Patients With Multiple Sclerosis,UNKNOWN,2021-06-02,2023-05-24,2024-03-02,2023-07-27,2021-01-12,OBSERVATIONAL,,60.0,ESTIMATED,Fondation Ophtalmologique Adolphe de Rothschild,NETWORK,,,Multiple Sclerosis,,France,Paris,,1,cerebral MRI,DEVICE,percentage of lesions showing the central vein sign with the SWI EPI sequence that also show the central vein sign with the candidate sequence|percentage of lesions which do not present the sign of the central vein with the SWI EPI sequence but which present it with the candidate sequence,,False,
NCT02583386,Comprehensive Fall Prevention and Detection in Multiple Sclerosis,Comprehensive Fall Prevention and Detection in Multiple Sclerosis,COMPLETED,2016-04,2019-10,2019-10,2021-03-11,2015-10-22,INTERVENTIONAL,NA,96.0,ACTUAL,Portland VA Medical Center,FED,Oregon Health and Science University,OTHER,Multiple Sclerosis,mobility|falls|fall prevention|gait and balance|automatic fall detector,United States,Portland,Oregon,1,Free From Falls fall prevention program|Electronic Fall Detector,BEHAVIORAL|OTHER,"Change from Baseline in Self-Reported Falls and Fall-Related Injuries at Completion of Program and the Following Six Months|Change from Baseline in Balance Confidence|Change from Baseline in Satisfaction with Participation in Social Roles|Change from Baseline in Ability to Participate in Social Roles and Activities|Change from Baseline in Quality of Life|Accuracy and Impact of Fall Detection and Localization by the MobileRF Fall Detection System, Compared to Paper Fall Calendars",Change from Baseline in Mobility and Balance (TUG score) at Completion of Program and the Following Six Months|Change from Baseline in Mobility and Balance (FSST score) at Completion of Program and the Following Six Months|Change from Baseline in Level of Physical Activity at Completion of Program and the Following Six Months|Change from Baseline in Fall Prevention Strategy at Completion of Program and the Following Six Months|Change from Baseline in Fatigue at Completion of Program and the Following Six Months|Change from Baseline in Mobility at Completion of Program and the Following Six Months|Change from Baseline in Psychosocial Function at Completion of Program and the Following Six Months|Change from Baseline in Knowledge and Confidence Regarding Fall Prevention at Completion of Program and the Following Six Months,False,
